"Cell_Type"	"Cell_State"	"Cohort"	"Sample"	"Count"	"Sex"	"cluster_id"	"group"	"id"	"full_group"	"n_cells"	"lol"
"19"	"Basal_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	9094	"Male"	"Basal"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Basal_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Basal_VIC01_48hpi_adult_Uninfected"	187	"Basal_Uninfected"
"20"	"Basal_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	4213	"Female"	"Basal"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Basal_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Basal_VIC01_48hpi_adult_Uninfected"	103	"Basal_Uninfected"
"21"	"Basal_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	9752	"Male"	"Basal"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Basal_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Basal_VIC01_48hpi_adult_Uninfected"	130	"Basal_Uninfected"
"22"	"Basal_1"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	540	"Female"	"Basal"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Basal_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Basal_VIC01_48hpi_child_Uninfected"	131	"Basal_Uninfected"
"23"	"Basal_1"	"Uninfected"	"VIC01_48hpi_child"	"Sample5_Sample5"	10677	"Female"	"Basal"	"VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Basal_VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Basal_VIC01_48hpi_child_Uninfected"	89	"Basal_Uninfected"
"24"	"Basal_2"	"Uninfected"	"VIC01_48hpi_child"	"Sample6_Sample6"	7391	"Male"	"Basal"	"VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Basal_VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Basal_VIC01_48hpi_child_Uninfected"	109	"Basal_Uninfected"
"27"	"Basal_1"	"Uninfected"	"VIC01_72hpi_adult"	"Sample1_Sample1"	13528	"Male"	"Basal"	"VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Basal_VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Basal_VIC01_72hpi_adult_Uninfected"	165	"Basal_Uninfected"
"28"	"Basal_1"	"Uninfected"	"VIC01_72hpi_adult"	"Sample2_Sample2"	7881	"Female"	"Basal"	"VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Basal_VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Basal_VIC01_72hpi_adult_Uninfected"	119	"Basal_Uninfected"
"29"	"Basal_1"	"Uninfected"	"VIC01_72hpi_adult"	"Sample3_Sample3"	6106	"Male"	"Basal"	"VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Basal_VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Basal_VIC01_72hpi_adult_Uninfected"	122	"Basal_Uninfected"
"30"	"Basal_1"	"Infected"	"VIC01_72hpi_child"	"Sample4_Sample4"	8849	"Female"	"Basal"	"VIC01_72hpi_child_Infected_Sample4_Sample4"	"Basal_VIC01_72hpi_child_Infected_Sample4_Sample4"	"Basal_VIC01_72hpi_child_Infected"	85	"Basal_Infected"
"31"	"Basal_1"	"Infected"	"VIC01_72hpi_child"	"Sample5_Sample5"	5457	"Female"	"Basal"	"VIC01_72hpi_child_Infected_Sample5_Sample5"	"Basal_VIC01_72hpi_child_Infected_Sample5_Sample5"	"Basal_VIC01_72hpi_child_Infected"	87	"Basal_Infected"
"32"	"Basal_2"	"Infected"	"VIC01_72hpi_child"	"Sample6_Sample6"	17758	"Male"	"Basal"	"VIC01_72hpi_child_Infected_Sample6_Sample6"	"Basal_VIC01_72hpi_child_Infected_Sample6_Sample6"	"Basal_VIC01_72hpi_child_Infected"	64	"Basal_Infected"
"33"	"Basal_1"	"Uninfected"	"VIC01_72hpi_child"	"Sample4_Sample4"	1406	"Female"	"Basal"	"VIC01_72hpi_child_Uninfected_Sample4_Sample4"	"Basal_VIC01_72hpi_child_Uninfected_Sample4_Sample4"	"Basal_VIC01_72hpi_child_Uninfected"	16	"Basal_Uninfected"
"34"	"Basal_1"	"Uninfected"	"VIC01_72hpi_child"	"Sample5_Sample5"	4211	"Female"	"Basal"	"VIC01_72hpi_child_Uninfected_Sample5_Sample5"	"Basal_VIC01_72hpi_child_Uninfected_Sample5_Sample5"	"Basal_VIC01_72hpi_child_Uninfected"	16	"Basal_Uninfected"
"35"	"Basal_2"	"Uninfected"	"VIC01_72hpi_child"	"Sample6_Sample6"	12786	"Male"	"Basal"	"VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Basal_VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Basal_VIC01_72hpi_child_Uninfected"	18	"Basal_Uninfected"
"42"	"Brush_Tuft"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	15374	"Male"	"Brush_Tuft"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Brush_Tuft_uninfected_adult_Uninfected_Sample1_Sample1"	"Brush_Tuft_uninfected_adult_Uninfected"	50	"Brush_Tuft_Uninfected"
"43"	"Brush_Tuft"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	786	"Female"	"Brush_Tuft"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Brush_Tuft_uninfected_adult_Uninfected_Sample2_Sample2"	"Brush_Tuft_uninfected_adult_Uninfected"	47	"Brush_Tuft_Uninfected"
"44"	"Brush_Tuft"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	760	"Male"	"Brush_Tuft"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Brush_Tuft_uninfected_adult_Uninfected_Sample3_Sample3"	"Brush_Tuft_uninfected_adult_Uninfected"	60	"Brush_Tuft_Uninfected"
"60"	"Ciliated_3"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	251	"Male"	"Ciliated"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Ciliated_UK_72hpi_adult_Infected_Sample1_Sample1"	"Ciliated_UK_72hpi_adult_Infected"	230	"Ciliated_Infected"
"61"	"Ciliated_1"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	11151	"Female"	"Ciliated"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Ciliated_UK_72hpi_adult_Infected_Sample2_Sample2"	"Ciliated_UK_72hpi_adult_Infected"	203	"Ciliated_Infected"
"62"	"Ciliated_SC2"	"Infected"	"UK_72hpi_adult"	"Sample3_Sample3"	14341	"Male"	"Ciliated"	"UK_72hpi_adult_Infected_Sample3_Sample3"	"Ciliated_UK_72hpi_adult_Infected_Sample3_Sample3"	"Ciliated_UK_72hpi_adult_Infected"	185	"Ciliated_Infected"
"63"	"Ciliated_3"	"Uninfected"	"UK_72hpi_adult"	"Sample1_Sample1"	568	"Male"	"Ciliated"	"UK_72hpi_adult_Uninfected_Sample1_Sample1"	"Ciliated_UK_72hpi_adult_Uninfected_Sample1_Sample1"	"Ciliated_UK_72hpi_adult_Uninfected"	16	"Ciliated_Uninfected"
"64"	"Ciliated_1"	"Uninfected"	"UK_72hpi_adult"	"Sample2_Sample2"	3651	"Female"	"Ciliated"	"UK_72hpi_adult_Uninfected_Sample2_Sample2"	"Ciliated_UK_72hpi_adult_Uninfected_Sample2_Sample2"	"Ciliated_UK_72hpi_adult_Uninfected"	23	"Ciliated_Uninfected"
"65"	"Ciliated_1"	"Uninfected"	"UK_72hpi_adult"	"Sample3_Sample3"	1795	"Male"	"Ciliated"	"UK_72hpi_adult_Uninfected_Sample3_Sample3"	"Ciliated_UK_72hpi_adult_Uninfected_Sample3_Sample3"	"Ciliated_UK_72hpi_adult_Uninfected"	17	"Ciliated_Uninfected"
"66"	"Ciliated_3"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	455	"Female"	"Ciliated"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Ciliated_UK_72hpi_child_Infected_Sample4_Sample4"	"Ciliated_UK_72hpi_child_Infected"	115	"Ciliated_Infected"
"67"	"Ciliated_3"	"Infected"	"UK_72hpi_child"	"Sample5_Sample5"	13560	"Female"	"Ciliated"	"UK_72hpi_child_Infected_Sample5_Sample5"	"Ciliated_UK_72hpi_child_Infected_Sample5_Sample5"	"Ciliated_UK_72hpi_child_Infected"	140	"Ciliated_Infected"
"68"	"Ciliated_1"	"Infected"	"UK_72hpi_child"	"Sample6_Sample6"	19507	"Male"	"Ciliated"	"UK_72hpi_child_Infected_Sample6_Sample6"	"Ciliated_UK_72hpi_child_Infected_Sample6_Sample6"	"Ciliated_UK_72hpi_child_Infected"	168	"Ciliated_Infected"
"71"	"Ciliated_3"	"Uninfected"	"UK_72hpi_child"	"Sample6_Sample6"	472	"Male"	"Ciliated"	"UK_72hpi_child_Uninfected_Sample6_Sample6"	"Ciliated_UK_72hpi_child_Uninfected_Sample6_Sample6"	"Ciliated_UK_72hpi_child_Uninfected"	18	"Ciliated_Uninfected"
"72"	"Ciliated_3"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	1096	"Male"	"Ciliated"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Ciliated_uninfected_adult_Uninfected_Sample1_Sample1"	"Ciliated_uninfected_adult_Uninfected"	370	"Ciliated_Uninfected"
"73"	"Ciliated_3"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	1685	"Female"	"Ciliated"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Ciliated_uninfected_adult_Uninfected_Sample2_Sample2"	"Ciliated_uninfected_adult_Uninfected"	483	"Ciliated_Uninfected"
"74"	"Ciliated_2"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	4067	"Male"	"Ciliated"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Ciliated_uninfected_adult_Uninfected_Sample3_Sample3"	"Ciliated_uninfected_adult_Uninfected"	944	"Ciliated_Uninfected"
"75"	"Ciliated_3"	"Uninfected"	"uninfected_child"	"Sample4_Sample4"	964	"Female"	"Ciliated"	"uninfected_child_Uninfected_Sample4_Sample4"	"Ciliated_uninfected_child_Uninfected_Sample4_Sample4"	"Ciliated_uninfected_child_Uninfected"	316	"Ciliated_Uninfected"
"76"	"Ciliated_3"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	2293	"Female"	"Ciliated"	"uninfected_child_Uninfected_Sample5_Sample5"	"Ciliated_uninfected_child_Uninfected_Sample5_Sample5"	"Ciliated_uninfected_child_Uninfected"	315	"Ciliated_Uninfected"
"77"	"Ciliated_3"	"Uninfected"	"uninfected_child"	"Sample6_Sample6"	1347	"Male"	"Ciliated"	"uninfected_child_Uninfected_Sample6_Sample6"	"Ciliated_uninfected_child_Uninfected_Sample6_Sample6"	"Ciliated_uninfected_child_Uninfected"	1051	"Ciliated_Uninfected"
"78"	"Ciliated_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	7847	"Male"	"Ciliated"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Ciliated_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Ciliated_VIC01_48hpi_adult_Uninfected"	264	"Ciliated_Uninfected"
"79"	"Ciliated_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	5972	"Female"	"Ciliated"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Ciliated_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Ciliated_VIC01_48hpi_adult_Uninfected"	288	"Ciliated_Uninfected"
"80"	"Ciliated_3"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	801	"Male"	"Ciliated"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Ciliated_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Ciliated_VIC01_48hpi_adult_Uninfected"	354	"Ciliated_Uninfected"
"82"	"Ciliated_3"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	415	"Female"	"Ciliated"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Ciliated_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Ciliated_VIC01_48hpi_child_Uninfected"	490	"Ciliated_Uninfected"
"83"	"Ciliated_1"	"Uninfected"	"VIC01_48hpi_child"	"Sample5_Sample5"	5326	"Female"	"Ciliated"	"VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Ciliated_VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Ciliated_VIC01_48hpi_child_Uninfected"	325	"Ciliated_Uninfected"
"84"	"Ciliated_3"	"Uninfected"	"VIC01_48hpi_child"	"Sample6_Sample6"	568	"Male"	"Ciliated"	"VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Ciliated_VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Ciliated_VIC01_48hpi_child_Uninfected"	709	"Ciliated_Uninfected"
"88"	"Ciliated_3"	"Uninfected"	"VIC01_72hpi_adult"	"Sample1_Sample1"	129	"Male"	"Ciliated"	"VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Ciliated_VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Ciliated_VIC01_72hpi_adult_Uninfected"	376	"Ciliated_Uninfected"
"89"	"Ciliated_3"	"Uninfected"	"VIC01_72hpi_adult"	"Sample2_Sample2"	258	"Female"	"Ciliated"	"VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Ciliated_VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Ciliated_VIC01_72hpi_adult_Uninfected"	230	"Ciliated_Uninfected"
"90"	"Ciliated_3"	"Uninfected"	"VIC01_72hpi_adult"	"Sample3_Sample3"	208	"Male"	"Ciliated"	"VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Ciliated_VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Ciliated_VIC01_72hpi_adult_Uninfected"	240	"Ciliated_Uninfected"
"91"	"Ciliated_3"	"Infected"	"VIC01_72hpi_child"	"Sample4_Sample4"	554	"Female"	"Ciliated"	"VIC01_72hpi_child_Infected_Sample4_Sample4"	"Ciliated_VIC01_72hpi_child_Infected_Sample4_Sample4"	"Ciliated_VIC01_72hpi_child_Infected"	83	"Ciliated_Infected"
"92"	"Ciliated_1"	"Infected"	"VIC01_72hpi_child"	"Sample5_Sample5"	7306	"Female"	"Ciliated"	"VIC01_72hpi_child_Infected_Sample5_Sample5"	"Ciliated_VIC01_72hpi_child_Infected_Sample5_Sample5"	"Ciliated_VIC01_72hpi_child_Infected"	107	"Ciliated_Infected"
"93"	"Ciliated_3"	"Infected"	"VIC01_72hpi_child"	"Sample6_Sample6"	877	"Male"	"Ciliated"	"VIC01_72hpi_child_Infected_Sample6_Sample6"	"Ciliated_VIC01_72hpi_child_Infected_Sample6_Sample6"	"Ciliated_VIC01_72hpi_child_Infected"	391	"Ciliated_Infected"
"94"	"Ciliated_3"	"Uninfected"	"VIC01_72hpi_child"	"Sample4_Sample4"	1041	"Female"	"Ciliated"	"VIC01_72hpi_child_Uninfected_Sample4_Sample4"	"Ciliated_VIC01_72hpi_child_Uninfected_Sample4_Sample4"	"Ciliated_VIC01_72hpi_child_Uninfected"	17	"Ciliated_Uninfected"
"96"	"Ciliated_3"	"Uninfected"	"VIC01_72hpi_child"	"Sample6_Sample6"	341	"Male"	"Ciliated"	"VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Ciliated_VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Ciliated_VIC01_72hpi_child_Uninfected"	98	"Ciliated_Uninfected"
"97"	"Cycling_basal"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	30459	"Male"	"Cycling_basal"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Cycling_basal_UK_72hpi_adult_Infected_Sample1_Sample1"	"Cycling_basal_UK_72hpi_adult_Infected"	24	"Cycling_basal_Infected"
"98"	"Cycling_basal"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	21402	"Female"	"Cycling_basal"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Cycling_basal_UK_72hpi_adult_Infected_Sample2_Sample2"	"Cycling_basal_UK_72hpi_adult_Infected"	72	"Cycling_basal_Infected"
"99"	"Cycling_basal"	"Infected"	"UK_72hpi_adult"	"Sample3_Sample3"	19243	"Male"	"Cycling_basal"	"UK_72hpi_adult_Infected_Sample3_Sample3"	"Cycling_basal_UK_72hpi_adult_Infected_Sample3_Sample3"	"Cycling_basal_UK_72hpi_adult_Infected"	51	"Cycling_basal_Infected"
"103"	"Cycling_basal"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	12655	"Female"	"Cycling_basal"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Cycling_basal_UK_72hpi_child_Infected_Sample4_Sample4"	"Cycling_basal_UK_72hpi_child_Infected"	57	"Cycling_basal_Infected"
"104"	"Cycling_basal"	"Infected"	"UK_72hpi_child"	"Sample5_Sample5"	9268	"Female"	"Cycling_basal"	"UK_72hpi_child_Infected_Sample5_Sample5"	"Cycling_basal_UK_72hpi_child_Infected_Sample5_Sample5"	"Cycling_basal_UK_72hpi_child_Infected"	41	"Cycling_basal_Infected"
"105"	"Cycling_basal"	"Infected"	"UK_72hpi_child"	"Sample6_Sample6"	10949	"Male"	"Cycling_basal"	"UK_72hpi_child_Infected_Sample6_Sample6"	"Cycling_basal_UK_72hpi_child_Infected_Sample6_Sample6"	"Cycling_basal_UK_72hpi_child_Infected"	39	"Cycling_basal_Infected"
"109"	"Cycling_basal"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	1630	"Male"	"Cycling_basal"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Cycling_basal_uninfected_adult_Uninfected_Sample1_Sample1"	"Cycling_basal_uninfected_adult_Uninfected"	155	"Cycling_basal_Uninfected"
"110"	"Cycling_basal"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	2132	"Female"	"Cycling_basal"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Cycling_basal_uninfected_adult_Uninfected_Sample2_Sample2"	"Cycling_basal_uninfected_adult_Uninfected"	168	"Cycling_basal_Uninfected"
"111"	"Cycling_basal"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	2952	"Male"	"Cycling_basal"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Cycling_basal_uninfected_adult_Uninfected_Sample3_Sample3"	"Cycling_basal_uninfected_adult_Uninfected"	188	"Cycling_basal_Uninfected"
"112"	"Cycling_basal"	"Uninfected"	"uninfected_child"	"Sample4_Sample4"	2002	"Female"	"Cycling_basal"	"uninfected_child_Uninfected_Sample4_Sample4"	"Cycling_basal_uninfected_child_Uninfected_Sample4_Sample4"	"Cycling_basal_uninfected_child_Uninfected"	52	"Cycling_basal_Uninfected"
"113"	"Cycling_basal"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	63700	"Female"	"Cycling_basal"	"uninfected_child_Uninfected_Sample5_Sample5"	"Cycling_basal_uninfected_child_Uninfected_Sample5_Sample5"	"Cycling_basal_uninfected_child_Uninfected"	58	"Cycling_basal_Uninfected"
"115"	"Cycling_basal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	4162	"Male"	"Cycling_basal"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Cycling_basal_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Cycling_basal_VIC01_48hpi_adult_Uninfected"	94	"Cycling_basal_Uninfected"
"116"	"Cycling_basal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	1020	"Female"	"Cycling_basal"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Cycling_basal_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Cycling_basal_VIC01_48hpi_adult_Uninfected"	94	"Cycling_basal_Uninfected"
"117"	"Cycling_basal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	568	"Male"	"Cycling_basal"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Cycling_basal_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Cycling_basal_VIC01_48hpi_adult_Uninfected"	103	"Cycling_basal_Uninfected"
"118"	"Cycling_basal"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	6428	"Female"	"Cycling_basal"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Cycling_basal_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Cycling_basal_VIC01_48hpi_child_Uninfected"	136	"Cycling_basal_Uninfected"
"119"	"Cycling_basal"	"Uninfected"	"VIC01_48hpi_child"	"Sample5_Sample5"	9060	"Female"	"Cycling_basal"	"VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Cycling_basal_VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Cycling_basal_VIC01_48hpi_child_Uninfected"	99	"Cycling_basal_Uninfected"
"120"	"Cycling_basal"	"Uninfected"	"VIC01_48hpi_child"	"Sample6_Sample6"	1970	"Male"	"Cycling_basal"	"VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Cycling_basal_VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Cycling_basal_VIC01_48hpi_child_Uninfected"	30	"Cycling_basal_Uninfected"
"122"	"Cycling_basal"	"Uninfected"	"VIC01_72hpi_adult"	"Sample1_Sample1"	392	"Male"	"Cycling_basal"	"VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Cycling_basal_VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Cycling_basal_VIC01_72hpi_adult_Uninfected"	54	"Cycling_basal_Uninfected"
"123"	"Cycling_basal"	"Uninfected"	"VIC01_72hpi_adult"	"Sample2_Sample2"	593	"Female"	"Cycling_basal"	"VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Cycling_basal_VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Cycling_basal_VIC01_72hpi_adult_Uninfected"	56	"Cycling_basal_Uninfected"
"124"	"Cycling_basal"	"Uninfected"	"VIC01_72hpi_adult"	"Sample3_Sample3"	12832	"Male"	"Cycling_basal"	"VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Cycling_basal_VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Cycling_basal_VIC01_72hpi_adult_Uninfected"	58	"Cycling_basal_Uninfected"
"125"	"Cycling_basal"	"Infected"	"VIC01_72hpi_child"	"Sample4_Sample4"	9942	"Female"	"Cycling_basal"	"VIC01_72hpi_child_Infected_Sample4_Sample4"	"Cycling_basal_VIC01_72hpi_child_Infected_Sample4_Sample4"	"Cycling_basal_VIC01_72hpi_child_Infected"	35	"Cycling_basal_Infected"
"126"	"Cycling_basal"	"Infected"	"VIC01_72hpi_child"	"Sample5_Sample5"	9218	"Female"	"Cycling_basal"	"VIC01_72hpi_child_Infected_Sample5_Sample5"	"Cycling_basal_VIC01_72hpi_child_Infected_Sample5_Sample5"	"Cycling_basal_VIC01_72hpi_child_Infected"	41	"Cycling_basal_Infected"
"138"	"Deuterosomal"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	2449	"Male"	"Deuterosomal"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Deuterosomal_uninfected_adult_Uninfected_Sample1_Sample1"	"Deuterosomal_uninfected_adult_Uninfected"	26	"Deuterosomal_Uninfected"
"139"	"Deuterosomal"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	4075	"Female"	"Deuterosomal"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Deuterosomal_uninfected_adult_Uninfected_Sample2_Sample2"	"Deuterosomal_uninfected_adult_Uninfected"	52	"Deuterosomal_Uninfected"
