"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Goblet_UK_72hpi_adult_Infected-Goblet_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000041357"	"ENSG00000041357"	2.54663590430871e-08	1.6588030185119e-05	10	1	-0.605766846380891	1	1
"ENSG00000100129"	"ENSG00000100129"	3.72937461571276e-25	4.06193185724509e-05	5	1	0.726306699712316	1	0.8
"ENSG00000115875"	"ENSG00000115875"	7.28839670548927e-05	4.63419092954904e-05	5	1	0.217548536004663	1	1
"ENSG00000127022"	"ENSG00000127022"	1.70777983859471e-06	0.00010979866962808	5	1	0.545874098612167	1	1
"ENSG00000245910"	"ENSG00000245910"	1.110609899921e-06	0.000221838901923739	3	1	-0.903006455370424	1	0.8
"ENSG00000108679"	"ENSG00000108679"	0.00103440958083209	0.000318437843287771	3	2	-0.316617371218538	1	1
"ENSG00000165949"	"ENSG00000165949"	0.000420123751223419	0.000342759432122756	5	2	0.27162843221305	1	1
"ENSG00000129235"	"ENSG00000129235"	2.86441467857845e-14	0.000468864339637072	7	1	0.746718552241309	1	1
"ENSG00000169567"	"ENSG00000169567"	4.62111024600511e-07	0.000536197348564147	3	1	-0.840776226325758	1	1
"ENSG00000150753"	"ENSG00000150753"	6.32271217174477e-09	0.000584101472581969	3	1	-0.412301914441364	1	1
"ENSG00000204618"	"ENSG00000204618"	0.00254232508733164	0.000621571938890144	3	1	0.602858223064571	1	1
"ENSG00000073578"	"ENSG00000073578"	1.67532294282893e-11	0.00108671751261393	6	1	-0.535729862439762	1	1
"ENSG00000245532"	"ENSG00000245532"	7.55820256095003e-05	0.00223299769952216	4	2	0.282034644308023	1	1
"ENSG00000115661"	"ENSG00000115661"	0.00245324397028763	0.0049144187235857	7	1	-0.651179377553986	1	1
"ENSG00000167526"	"ENSG00000167526"	0.00054234409685576	0.00569484543627071	7	1	0.303571083719148	1	1
"ENSG00000011009"	"ENSG00000011009"	0.0118996644386548	0.00708063036337509	6	1	0.488359954597333	1	1
"ENSG00000107372"	"ENSG00000107372"	0.000913410536486009	0.0111827774934386	8	1	0.55387162901543	1	1
"ENSG00000110696"	"ENSG00000110696"	0.032203453987713	0.0130520161000084	3	1	0.269650430925883	1	1
"ENSG00000136802"	"ENSG00000136802"	0.0474467699949984	0.0153157621762551	4	1	0.74893821445726	1	0.8
"ENSG00000119333"	"ENSG00000119333"	1.29315184374947e-05	0.0155005382992876	7	1	-0.405141428202635	1	1
"ENSG00000129625"	"ENSG00000129625"	3.65089119824422e-06	0.0348414059633652	4	1	0.306651474964515	1	1
"ENSG00000184281"	"ENSG00000184281"	0.00384074845501422	0.0370457457954036	5	1	-0.374368158819707	1	1
"ENSG00000167136"	"ENSG00000167136"	0.00143863244128966	0.0472020964895832	3	1	-0.451134268577535	1	1
"ENSG00000129654"	"ENSG00000129654"	0.000183994083117606	0.0497954857344007	3	1	0.56741302011738	1	1
