"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_UK_72hpi_adult_Infected-Ciliated_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000100906"	"ENSG00000100906"	3.5140826310688e-07	0	2	2	-0.143828824642366	1	1
"ENSG00000144713"	"ENSG00000144713"	3.20913601856171e-145	0	2	2	-0.133895341289389	1	1
"ENSG00000065154"	"ENSG00000065154"	7.08532672827343e-07	0	2	2	-0.133847977380539	1	1
"ENSG00000185043"	"ENSG00000185043"	6.19892059108476e-17	0	2	2	-0.124169396915634	1	1
"ENSG00000213523"	"ENSG00000213523"	0.0282646465941688	0	2	2	-0.117086663527423	1	1
"ENSG00000013588"	"ENSG00000013588"	0.0187571595214573	0	2	2	0.114208918509955	1	1
"ENSG00000204370"	"ENSG00000204370"	8.22681106846228e-11	0	2	2	-0.114092229879466	1	1
"ENSG00000134905"	"ENSG00000134905"	0.000396764023905104	0	2	2	0.1035621389005	1	1
"ENSG00000186352"	"ENSG00000186352"	4.33396858679199e-05	0	2	2	-0.0981558409749478	1	1
"ENSG00000138495"	"ENSG00000138495"	0.0263960013831225	0	2	2	0.0970610482988322	1	1
"ENSG00000160932"	"ENSG00000160932"	1.82950990857374e-06	0	2	2	0.0957196378438834	1	1
"ENSG00000228300"	"ENSG00000228300"	0.0067643442547964	0	2	2	-0.0956345687409389	1	1
"ENSG00000186081"	"ENSG00000186081"	4.23233580419535e-15	0	2	2	0.0928111029224949	1	1
"ENSG00000173992"	"ENSG00000173992"	0.0144835716477334	0	2	2	0.092462437505707	1	1
"ENSG00000165672"	"ENSG00000165672"	5.41812482430997e-09	0	2	2	-0.0895636095150598	1	1
"ENSG00000165609"	"ENSG00000165609"	2.45346652708441e-05	0	2	2	-0.0865282602031379	1	1
"ENSG00000164978"	"ENSG00000164978"	0.0217582251221584	0	2	2	0.0853162133719986	1	1
"ENSG00000023734"	"ENSG00000023734"	0.00312609063674686	0	2	2	0.0813392072970156	1	1
"ENSG00000172270"	"ENSG00000172270"	0.000125349309523319	0	2	2	-0.0790344627759914	1	1
"ENSG00000140319"	"ENSG00000140319"	2.35451540097066e-06	0	2	2	0.0770492502501893	1	1
"ENSG00000241343"	"ENSG00000241343"	3.3501159014668e-10	0	2	2	-0.0725054113698769	1	1
"ENSG00000161011"	"ENSG00000161011"	1.10771889697701e-06	0	2	2	0.0719119749908135	1	1
"ENSG00000173467"	"ENSG00000173467"	0.00817970975006116	0	2	2	0.0718145859053033	1	1
"ENSG00000177156"	"ENSG00000177156"	0.000724246059100698	0	2	2	-0.070683082752726	1	1
"ENSG00000165283"	"ENSG00000165283"	0.00167352059140644	0	2	2	0.0639865770243886	1	1
"ENSG00000100220"	"ENSG00000100220"	0.00948789828070199	0	2	2	0.0620808780696197	1	1
"ENSG00000153048"	"ENSG00000153048"	0.00159615966534206	0	2	2	0.0608788700719195	1	1
"ENSG00000072778"	"ENSG00000072778"	0.000734227106551193	0	2	2	-0.0604204717650484	1	1
"ENSG00000167644"	"ENSG00000167644"	0.0242417657912445	0	2	2	0.0558323185198669	1	1
"ENSG00000121900"	"ENSG00000121900"	0.00787588838304525	0	2	2	0.0543670333083113	1	1
"ENSG00000196139"	"ENSG00000196139"	4.61824867708784e-12	0	2	2	0.0526093430586782	1	1
"ENSG00000070831"	"ENSG00000070831"	0.00123446021655726	0	2	2	-0.0524339466672471	1	1
"ENSG00000196954"	"ENSG00000196954"	0.00362031519858655	0	2	2	0.0516148892872156	1	1
"ENSG00000241685"	"ENSG00000241685"	4.45393003220706e-06	0	2	2	0.0502013986263609	1	1
"ENSG00000187244"	"ENSG00000187244"	0.0127344601991414	0	2	2	-0.0493681444325603	1	1
"ENSG00000165474"	"ENSG00000165474"	0.00532507199647938	0	2	2	-0.0486412480497006	1	1
"ENSG00000226950"	"ENSG00000226950"	0.0370578867874823	0	2	2	0.0436492731213186	1	1
"ENSG00000187514"	"ENSG00000187514"	2.13138201508911e-13	0	2	2	0.0434255417653334	1	1
"ENSG00000108774"	"ENSG00000108774"	0.0472707916485873	0	2	2	-0.0414281830856197	1	1
"ENSG00000134339"	"ENSG00000134339"	0.0180094664481766	0	2	2	-0.0403999963269279	1	1
"ENSG00000120129"	"ENSG00000120129"	9.76483710358414e-05	0	2	2	0.0370589052615336	1	1
"ENSG00000118680"	"ENSG00000118680"	0.0273179784590952	0	2	2	0.0369740903424886	1	1
"ENSG00000164032"	"ENSG00000164032"	4.90472122836823e-06	0	2	2	0.0343816560202208	1	1
"ENSG00000184009"	"ENSG00000184009"	6.02545399686556e-17	0	2	2	0.0342784913200588	1	1
"ENSG00000137331"	"ENSG00000137331"	0.0101718917851762	0	2	2	-0.0341844853600554	1	1
"ENSG00000164405"	"ENSG00000164405"	0.00554419574096544	0	2	2	0.0291690467583158	1	1
"ENSG00000110700"	"ENSG00000110700"	1.29697574643235e-08	0	2	2	0.026686741086034	1	1
"ENSG00000111640"	"ENSG00000111640"	3.65446043394841e-05	0	2	2	-0.0255813317292946	1	1
"ENSG00000170315"	"ENSG00000170315"	0.0152734748223388	0	2	2	-0.022904604284823	1	1
"ENSG00000125968"	"ENSG00000125968"	0.00859684616916859	0	2	2	0.0213754127980831	1	1
"ENSG00000197956"	"ENSG00000197956"	0.00395610729803314	0	2	2	-0.0205278712829678	1	1
"ENSG00000170889"	"ENSG00000170889"	2.30936285406845e-05	0	2	2	0.0198515159078625	1	1
"ENSG00000205420"	"ENSG00000205420"	2.09188729074032e-05	0	2	2	-0.0197485384700081	1	1
"ENSG00000108298"	"ENSG00000108298"	6.94909325995593e-11	0	2	2	0.0189396589951069	1	1
"ENSG00000211450"	"ENSG00000211450"	2.03764862350884e-310	1.1495424134322e-266	3	1	0.935368240965545	1	1
"ENSG00000167996"	"ENSG00000167996"	2.03764862350884e-310	2.29908482686439e-266	4	1	-0.44178413623925	1	1
"ENSG00000147403"	"ENSG00000147403"	2.03764862350884e-310	5.74771206716098e-266	7	2	0.95065567576406	1	1
"ENSG00000089356"	"ENSG00000089356"	9.1831527640806e-273	1.1495424134322e-265	3	2	-0.492545531023357	1	1
"ENSG00000122026"	"ENSG00000122026"	2.03764862350884e-310	3.60938841091842e-205	3	1	-0.392695549068927	1	1
"ENSG00000104408"	"ENSG00000104408"	7.36059102206459e-218	1.06797328883197e-179	3	1	0.987480271526613	1	1
"ENSG00000130429"	"ENSG00000130429"	1.7755480787993e-157	1.74850141096372e-96	4	1	-0.37916255529242	1	1
"ENSG00000143198"	"ENSG00000143198"	1.28201735869018e-159	1.03945091892286e-89	3	1	0.443612820706075	1	1
"ENSG00000197728"	"ENSG00000197728"	5.95556538451562e-75	8.51905940752553e-78	3	2	0.86084512055992	1	1
"ENSG00000163435"	"ENSG00000163435"	2.03764862350884e-310	3.6356290888808e-77	4	1	0.644237173110946	1	1
"ENSG00000204387"	"ENSG00000204387"	3.73967431174477e-101	3.05642497457821e-75	4	1	-0.7313849859267	1	1
"ENSG00000245910"	"ENSG00000245910"	3.34061774133771e-97	1.06674358015386e-71	4	1	-0.837508204789401	1	1
"ENSG00000104529"	"ENSG00000104529"	1.34765827220239e-82	2.01722689996136e-69	3	2	-0.42384618431579	1	1
"ENSG00000170477"	"ENSG00000170477"	9.16154746948917e-94	3.99267623957201e-59	5	1	-0.402114539089531	1	1
"ENSG00000129235"	"ENSG00000129235"	3.10124373977517e-99	1.02387581143826e-54	5	1	0.827914536021413	1	1
"ENSG00000169567"	"ENSG00000169567"	7.53087838920223e-81	4.22315879280828e-53	3	1	-0.860994552279474	1	1
"ENSG00000130164"	"ENSG00000130164"	3.90701627334634e-59	1.82966064849456e-50	4	1	-0.858825304804503	1	1
"ENSG00000110492"	"ENSG00000110492"	1.5357056012213e-104	5.98785799114474e-50	5	1	-0.346579344737101	1	1
"ENSG00000203875"	"ENSG00000203875"	9.13147269067293e-45	5.06393409341271e-47	5	2	0.426572939572915	1	1
"ENSG00000105519"	"ENSG00000105519"	4.74397256189431e-84	5.94134327441789e-44	7	1	-0.430346478439407	1	1
"ENSG00000160180"	"ENSG00000160180"	1.90003517159448e-84	6.53007858713454e-42	3	1	-0.514658411030013	1	1
"ENSG00000110958"	"ENSG00000110958"	9.52791356303352e-60	1.1330719486904e-39	3	1	0.402800418763917	1	1
"ENSG00000110852"	"ENSG00000110852"	1.59618778030427e-45	2.33783369945155e-39	4	1	0.774570517441276	1	1
"ENSG00000161203"	"ENSG00000161203"	3.42132452671131e-94	2.29491235980326e-38	3	1	0.234725065977987	1	1
"ENSG00000172809"	"ENSG00000172809"	2.68575363007971e-33	4.66791676550012e-36	4	2	0.665493591532762	1	1
"ENSG00000230937"	"ENSG00000230937"	4.43498064949016e-71	1.47702126875628e-35	8	1	-0.26789617152683	1	1
"ENSG00000100129"	"ENSG00000100129"	3.36649315535375e-170	1.95648675622151e-34	5	1	0.713403267134318	1	1
"ENSG00000174444"	"ENSG00000174444"	1.54403515361659e-49	1.08098220075179e-32	3	2	0.963303094284214	1	1
"ENSG00000116459"	"ENSG00000116459"	6.36409274080138e-43	2.64061440748987e-32	3	1	0.955888112023692	1	1
"ENSG00000004455"	"ENSG00000004455"	2.37665122036286e-36	4.46489622466555e-30	5	1	-0.586955035048531	1	1
"ENSG00000127022"	"ENSG00000127022"	4.9651411468932e-58	7.33490232670619e-30	5	1	0.527595388105911	1	1
"ENSG00000137975"	"ENSG00000137975"	1.15307231287345e-47	2.07295152100668e-28	3	1	0.808341836452576	1	1
"ENSG00000245532"	"ENSG00000245532"	8.24501044056038e-65	9.79154785985791e-28	4	2	0.290924127309506	1	1
"ENSG00000204618"	"ENSG00000204618"	3.30388905261999e-30	2.91037109066874e-27	3	2	0.558159792849132	1	1
"ENSG00000173272"	"ENSG00000173272"	4.34186131306496e-50	5.40488676779708e-27	3	1	0.264485686647757	1	1
"ENSG00000206073"	"ENSG00000206073"	7.24009461368178e-36	1.71593203954226e-26	3	1	0.196376214896674	1	1
"ENSG00000102144"	"ENSG00000102144"	3.56682018511891e-24	1.30282251803577e-24	3	2	-0.406977167121962	1	1
"ENSG00000133665"	"ENSG00000133665"	2.63209411259396e-38	1.46866645028834e-24	4	1	0.472392101971423	1	1
"ENSG00000101608"	"ENSG00000101608"	3.44056440273652e-62	7.83860951520114e-24	4	1	-0.194446672638153	1	1
"ENSG00000063660"	"ENSG00000063660"	1.61128701022898e-29	3.67711269134403e-23	3	2	-0.542912453307161	1	1
"ENSG00000182196"	"ENSG00000182196"	2.42072897950131e-86	1.15239258079536e-22	5	2	0.414346907446992	1	1
"ENSG00000130254"	"ENSG00000130254"	6.20564031633114e-27	1.34298461910871e-22	4	1	-0.768425704128534	1	1
"ENSG00000196344"	"ENSG00000196344"	7.25060316988284e-85	3.50003876701785e-22	6	1	-0.23107307493993	1	1
"ENSG00000110536"	"ENSG00000110536"	9.09541940301608e-30	8.20106187158413e-22	8	1	-0.688329859999568	1	1
"ENSG00000150753"	"ENSG00000150753"	4.91882819662436e-50	9.10322326804093e-22	3	1	-0.411194611125876	1	1
"ENSG00000107372"	"ENSG00000107372"	4.93935647600512e-42	2.16511648860883e-20	7	1	0.488087852831176	1	1
"ENSG00000041357"	"ENSG00000041357"	1.16201161508949e-55	2.32565900886158e-20	5	2	0.677704194260486	1	1
"ENSG00000109180"	"ENSG00000109180"	8.80386242636793e-23	9.67610453208527e-20	3	1	0.266964388868461	1	1
"ENSG00000115310"	"ENSG00000115310"	1.59280055765923e-126	4.40200098327149e-19	6	1	-0.329992676007816	1	1
"ENSG00000172785"	"ENSG00000172785"	3.96219152992259e-55	5.9467458470195e-19	7	1	-0.573426057190702	1	1
"ENSG00000157778"	"ENSG00000157778"	5.34032681327962e-66	7.70659964323251e-19	6	2	0.571427475117369	1	1
"ENSG00000164733"	"ENSG00000164733"	6.09419567340224e-121	1.66534874268211e-18	6	1	-0.488672282859428	1	1
"ENSG00000108953"	"ENSG00000108953"	4.9322189785344e-34	4.94510884467477e-18	4	1	0.188081596786261	1	1
"ENSG00000184110"	"ENSG00000184110"	7.69428505866861e-48	1.08602041773515e-17	5	1	0.406103815147691	1	1
"ENSG00000263001"	"ENSG00000263001"	1.06396953959439e-29	1.34360142368481e-17	5	1	-0.812120557889017	1	1
"ENSG00000011009"	"ENSG00000011009"	8.93140706947658e-23	3.56363611887597e-17	5	1	0.44263512695971	1	1
"ENSG00000204220"	"ENSG00000204220"	8.66091270376161e-22	6.82883850779475e-17	4	2	0.602632112916606	1	1
"ENSG00000188529"	"ENSG00000188529"	6.28229066742069e-43	7.52365277104292e-17	9	2	0.556577774361861	1	0.833333333333333
"ENSG00000127125"	"ENSG00000127125"	2.1829926396041e-18	1.90467198192784e-16	6	2	0.258165005008061	1	1
"ENSG00000163584"	"ENSG00000163584"	1.47881177313173e-42	2.54502540802063e-16	3	1	0.252391821052059	1	1
"ENSG00000181163"	"ENSG00000181163"	3.40983125656822e-17	7.19291777248679e-16	3	1	0.477918780482045	1	1
"ENSG00000155066"	"ENSG00000155066"	9.63878224602614e-18	8.44359411033033e-16	5	1	0.710813784538381	1	1
"ENSG00000227036"	"ENSG00000227036"	9.89897534762431e-14	1.25028497678554e-15	8	1	-0.280451064601099	1	1
"ENSG00000117394"	"ENSG00000117394"	3.80395812848276e-31	2.30254229290847e-15	3	2	-0.69170473261564	1	1
"ENSG00000197446"	"ENSG00000197446"	1.29092476758723e-17	3.8136565218615e-15	7	1	0.24245986160728	1	1
"ENSG00000161921"	"ENSG00000161921"	4.77493426701075e-29	4.87659815449133e-15	5	1	-0.227118640538938	1	1
"ENSG00000143549"	"ENSG00000143549"	8.2020097088099e-64	4.95838523519035e-15	7	1	0.562236789621959	1	1
"ENSG00000044115"	"ENSG00000044115"	8.42050734336606e-43	1.18048205574703e-14	7	1	0.596367249250939	1	1
"ENSG00000260916"	"ENSG00000260916"	2.00060388104438e-28	1.22521189529469e-14	4	2	-0.648082870401314	1	1
"ENSG00000114850"	"ENSG00000114850"	1.95169613628121e-18	2.77941497803786e-14	5	1	-0.880419251796293	1	0.833333333333333
"ENSG00000170296"	"ENSG00000170296"	7.11439767196517e-64	7.53483881998187e-14	5	2	0.937771989182994	1	1
"ENSG00000137996"	"ENSG00000137996"	1.4552926734091e-27	1.36658885637053e-13	3	1	-0.603191295634111	1	1
"ENSG00000244038"	"ENSG00000244038"	9.7239805346829e-12	3.22590625902477e-13	3	2	-0.239448156500376	1	1
"ENSG00000173171"	"ENSG00000173171"	5.42401966065043e-12	3.28207119789478e-13	3	3	-0.599355956409753	1	1
"ENSG00000188659"	"ENSG00000188659"	5.68615172238101e-15	3.48986467063744e-13	7	2	0.786177319406737	1	0.833333333333333
"ENSG00000017797"	"ENSG00000017797"	3.46408110920027e-45	4.45824777564216e-13	3	1	0.975816541737545	1	0.833333333333333
"ENSG00000186468"	"ENSG00000186468"	1.39450093062721e-11	5.9898308355609e-13	5	2	0.449265991015743	1	1
"ENSG00000104964"	"ENSG00000104964"	3.35850072775628e-57	8.00563720380824e-13	5	1	0.240105710913536	1	1
"ENSG00000143353"	"ENSG00000143353"	9.11714015154825e-48	9.27167706557045e-13	6	1	-0.664988450340501	1	1
"ENSG00000122545"	"ENSG00000122545"	2.31825464538177e-96	1.10670969677527e-12	5	1	-0.344569899496989	1	1
"ENSG00000183844"	"ENSG00000183844"	4.09156622425568e-17	1.99820388435851e-12	3	1	0.344637264278201	1	1
"ENSG00000105835"	"ENSG00000105835"	2.19713075915663e-11	2.77672074061532e-12	3	2	-0.319803955577405	1	1
"ENSG00000092820"	"ENSG00000092820"	2.21024904975169e-19	2.90877377849883e-12	3	1	-0.622222632303362	1	1
"ENSG00000278558"	"ENSG00000278558"	1.93114264992201e-18	3.54509360632225e-12	4	1	-0.650690337836398	1	1
"ENSG00000138744"	"ENSG00000138744"	2.11013258716496e-22	8.80852645476494e-12	5	1	0.551839593195539	1	1
"ENSG00000177459"	"ENSG00000177459"	3.55888565583667e-21	1.49168111014486e-11	3	1	-0.53518488311956	1	1
"ENSG00000204381"	"ENSG00000204381"	1.57280425966408e-28	1.57404340528678e-11	5	2	-0.765504156146706	1	1
"ENSG00000147889"	"ENSG00000147889"	1.17114184105405e-206	1.67168083701786e-11	11	1	-0.258959072948435	1	1
"ENSG00000105568"	"ENSG00000105568"	8.76309935546587e-14	1.86665450713203e-11	3	1	-0.330445961010024	1	1
"ENSG00000006625"	"ENSG00000006625"	2.04553429955575e-10	2.06558414078693e-11	3	2	-0.206695663269951	1	1
"ENSG00000109861"	"ENSG00000109861"	2.91313921393878e-10	2.19439680559258e-11	3	1	-0.180197022040155	1	1
"ENSG00000067182"	"ENSG00000067182"	1.83127262651195e-27	2.43007641473348e-11	3	1	0.554312872986535	1	1
"ENSG00000172831"	"ENSG00000172831"	1.44315340541041e-17	3.00404279436582e-11	4	1	0.583626750353712	1	1
"ENSG00000157601"	"ENSG00000157601"	6.86654537158113e-37	5.70464623856290e-11	6	1	-0.392741358398496	1	1
"ENSG00000243989"	"ENSG00000243989"	8.4650299112809e-17	7.24939913739824e-11	3	1	-0.585233045239978	1	1
"ENSG00000157916"	"ENSG00000157916"	1.69673475856589e-09	7.87559740220853e-11	3	1	0.264406598592201	1	1
"ENSG00000158373"	"ENSG00000158373"	6.85797403690472e-11	1.15485537310451e-10	3	1	-0.404344531629463	1	1
"ENSG00000070526"	"ENSG00000070526"	9.56521899383759e-30	1.239744121452e-10	6	1	0.258370803715935	1	1
"ENSG00000115963"	"ENSG00000115963"	1.00065944641278e-12	1.70879372355986e-10	6	2	0.245522909995357	1	1
"ENSG00000174428"	"ENSG00000174428"	1.24899601750507e-10	2.40932146540634e-10	4	2	-0.563248853629602	1	1
"ENSG00000089693"	"ENSG00000089693"	1.29584484199141e-38	2.44141495565944e-10	6	1	0.887106771277	1	1
"ENSG00000175110"	"ENSG00000175110"	4.10650042339477e-24	2.63546455319984e-10	4	1	-0.466838871382323	1	1
"ENSG00000176945"	"ENSG00000176945"	5.20297587273854e-18	3.59444152326284e-10	8	2	0.203716857586431	1	1
"ENSG00000136827"	"ENSG00000136827"	7.57789973814363e-16	3.83988292378885e-10	4	1	0.554349019173867	1	1
"ENSG00000119333"	"ENSG00000119333"	2.46285794657272e-34	4.86980897368e-10	5	1	-0.267338324954384	1	1
"ENSG00000160752"	"ENSG00000160752"	9.16556831293614e-60	5.10326164556414e-10	7	1	0.273805485037876	1	1
"ENSG00000051620"	"ENSG00000051620"	1.05145081871588e-09	6.19642883881648e-10	3	1	0.180755162791631	1	1
"ENSG00000103342"	"ENSG00000103342"	4.85444679826396e-24	7.31101708667339e-10	4	2	-0.832423593312391	1	1
"ENSG00000159346"	"ENSG00000159346"	4.25837748405834e-21	7.52600108401058e-10	4	1	0.297414041936826	1	1
"ENSG00000189077"	"ENSG00000189077"	2.03105179650847e-10	8.67128283705309e-10	5	1	0.737961928906752	1	1
"ENSG00000118705"	"ENSG00000118705"	2.41762578568243e-19	1.20952926594904e-09	3	1	-0.271205351304133	1	1
"ENSG00000151500"	"ENSG00000151500"	5.22761299859355e-08	1.24894777082992e-09	4	2	0.272425995478963	1	1
"ENSG00000204385"	"ENSG00000204385"	8.75564930179141e-68	1.46682355079436e-09	5	1	0.55587311455166	1	1
"ENSG00000108963"	"ENSG00000108963"	2.75396365700073e-14	1.53980650633501e-09	6	1	0.586111013557277	1	1
"ENSG00000164924"	"ENSG00000164924"	1.32487782751259e-36	1.82683511840276e-09	9	1	0.250014710591618	1	1
"ENSG00000198830"	"ENSG00000198830"	1.3510974939785e-108	2.30657891063084e-09	5	2	0.866649686563175	1	1
"ENSG00000166164"	"ENSG00000166164"	3.49772588787273e-39	2.76762054835807e-09	7	1	-0.386531275761347	1	1
"ENSG00000184281"	"ENSG00000184281"	2.86943056649171e-13	2.80837314512261e-09	3	1	0.237613236959175	1	1
"ENSG00000185650"	"ENSG00000185650"	1.69560664699649e-30	3.80388240209799e-09	5	1	-0.360975609285443	1	1
"ENSG00000115129"	"ENSG00000115129"	6.14241288713113e-24	3.92257213991153e-09	8	1	-0.373421381708502	1	1
"ENSG00000066855"	"ENSG00000066855"	5.25647639680845e-09	4.10718993612631e-09	3	1	0.771739916016351	1	1
"ENSG00000122644"	"ENSG00000122644"	6.12228224007867e-26	4.19842117827401e-09	6	1	0.262433054877839	1	1
"ENSG00000107175"	"ENSG00000107175"	6.09582814077799e-12	4.73038637730196e-09	4	1	0.350260520309772	1	1
"ENSG00000164713"	"ENSG00000164713"	9.48516958790104e-11	5.22164949461608e-09	3	1	0.179851127654448	1	1
"ENSG00000123358"	"ENSG00000123358"	9.42365747648659e-14	5.35886339030987e-09	8	2	-0.512616923586247	1	1
"ENSG00000139722"	"ENSG00000139722"	5.04639276113083e-15	5.65759099133598e-09	4	1	0.197280255739958	1	1
"ENSG00000104388"	"ENSG00000104388"	4.94173012162965e-46	5.75590640087022e-09	3	1	0.997347916431499	1	0.666666666666667
"ENSG00000198563"	"ENSG00000198563"	3.51178910802123e-29	6.10448161338746e-09	5	1	-0.233577976573515	1	1
"ENSG00000124795"	"ENSG00000124795"	3.80523391446567e-14	6.44697157571239e-09	6	1	0.498773252071542	1	1
"ENSG00000115520"	"ENSG00000115520"	3.59749092604093e-12	7.59202497151364e-09	3	1	0.673667125940624	1	1
"ENSG00000100219"	"ENSG00000100219"	2.20530829170918e-15	8.4050188176391e-09	4	1	0.221508774073285	1	1
"ENSG00000146731"	"ENSG00000146731"	2.68003816629351e-32	9.0169128373489e-09	3	2	0.446434942865113	1	1
"ENSG00000101940"	"ENSG00000101940"	3.32873928675349e-25	9.0761877240818e-09	5	1	0.347969235125441	1	1
"ENSG00000071539"	"ENSG00000071539"	1.60092255880875e-10	9.94737866275711e-09	8	1	-0.591009972886841	1	1
"ENSG00000144161"	"ENSG00000144161"	7.86541955844485e-13	1.19094275124788e-08	6	1	0.595350413110268	1	1
"ENSG00000258752"	"ENSG00000258752"	2.0421005123773e-15	1.28871685690516e-08	3	1	0.410017099527227	1	1
"ENSG00000128951"	"ENSG00000128951"	4.06351301556106e-15	1.84231461355218e-08	4	2	-0.333032027907274	1	1
"ENSG00000151665"	"ENSG00000151665"	1.43219485175861e-88	2.15739851431524e-08	5	1	-0.774509075872485	1	1
"ENSG00000068903"	"ENSG00000068903"	3.88905214422755e-13	2.23516166762001e-08	3	1	0.64974161011366	1	1
"ENSG00000134363"	"ENSG00000134363"	2.10438820392771e-09	2.90281113211647e-08	4	1	-0.724941511767386	1	1
"ENSG00000171867"	"ENSG00000171867"	2.73525277660808e-25	3.14649812650593e-08	3	1	0.454955785243429	1	1
"ENSG00000155438"	"ENSG00000155438"	3.32918769797055e-08	3.20877359383773e-08	3	2	0.426023760922869	1	1
"ENSG00000172830"	"ENSG00000172830"	8.08681764510011e-10	4.97889466228524e-08	4	1	-0.506432813443304	1	1
"ENSG00000079974"	"ENSG00000079974"	8.61656277102215e-69	5.78719334346778e-08	7	1	-0.599122052883148	1	1
"ENSG00000109390"	"ENSG00000109390"	6.49014196623009e-10	6.11171007884462e-08	4	1	-0.205663711962472	1	1
"ENSG00000129654"	"ENSG00000129654"	6.2268400896618e-27	6.79941863739743e-08	3	1	0.464764605604383	1	1
"ENSG00000163882"	"ENSG00000163882"	6.56575276840629e-40	8.73290524951114e-08	6	1	-0.792792863312565	1	1
"ENSG00000128699"	"ENSG00000128699"	6.95139664341853e-30	1.29776214525873e-07	7	1	-0.499999954056359	1	1
"ENSG00000149091"	"ENSG00000149091"	3.09123545691161e-06	1.33376997200286e-07	6	1	-0.647867985777193	1	1
