"Var1"	"Freq"
"Secretory_Ciliated_VIC01_72hpi_adult_Infected"	3
"Secretory_Ciliated_VIC01_72hpi_adult_Uninfected"	42
"Secretory_Ciliated_VIC01_72hpi_child_Infected"	54
"Secretory_Ciliated_VIC01_72hpi_child_Uninfected"	2
"Secretory_UK_72hpi_adult_Infected"	404
"Secretory_UK_72hpi_adult_Uninfected"	37
"Secretory_UK_72hpi_child_Infected"	340
"Secretory_UK_72hpi_child_Uninfected"	48
"Secretory_uninfected_adult_Uninfected"	1531
"Secretory_uninfected_child_Uninfected"	829
"Secretory_VIC01_48hpi_adult_Uninfected"	582
"Secretory_VIC01_48hpi_child_Infected"	4
"Secretory_VIC01_48hpi_child_Uninfected"	968
"Secretory_VIC01_72hpi_adult_Infected"	17
"Secretory_VIC01_72hpi_adult_Uninfected"	473
"Secretory_VIC01_72hpi_child_Infected"	425
"Secretory_VIC01_72hpi_child_Uninfected"	126
"Suprabasal_UK_72hpi_adult_Infected"	343
"Suprabasal_UK_72hpi_adult_Uninfected"	20
"Suprabasal_UK_72hpi_child_Infected"	415
"Suprabasal_UK_72hpi_child_Uninfected"	14
"Suprabasal_uninfected_adult_Uninfected"	648
"Suprabasal_uninfected_child_Uninfected"	175
"Suprabasal_VIC01_48hpi_adult_Uninfected"	449
"Suprabasal_VIC01_48hpi_child_Infected"	2
"Suprabasal_VIC01_48hpi_child_Uninfected"	637
"Suprabasal_VIC01_72hpi_adult_Infected"	4
"Suprabasal_VIC01_72hpi_adult_Uninfected"	372
"Suprabasal_VIC01_72hpi_child_Infected"	289
"Suprabasal_VIC01_72hpi_child_Uninfected"	47
