"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000185567"	"ENSG00000185567"	1.04390104986828e-08	3.04917650980687e-08	6	1	0.837417576282562	1	0.8
"ENSG00000137818"	"ENSG00000137818"	3.72210261645705e-06	1.5920459434954e-07	3	2	0.380344500167705	1	1
"ENSG00000173812"	"ENSG00000173812"	1.89394621284493e-07	8.70725742319764e-07	5	3	-0.343725315486451	1	1
"ENSG00000120129"	"ENSG00000120129"	5.46987779273236e-05	3.33823111658665e-06	4	1	0.186719006427351	1	1
"ENSG00000163435"	"ENSG00000163435"	1.61151594795332e-30	5.61718826683326e-06	6	1	0.594785291088125	1	1
"ENSG00000116285"	"ENSG00000116285"	4.86506883887665e-07	1.1790615955267e-05	3	1	-0.838662540242391	1	1
"ENSG00000163466"	"ENSG00000163466"	0.000145991691919331	1.49374740160055e-05	5	1	-0.24255080436144	1	1
"ENSG00000067225"	"ENSG00000067225"	3.78183004952156e-13	1.73897990606278e-05	7	1	0.337697547501397	1	1
"ENSG00000241468"	"ENSG00000241468"	6.25730321817197e-12	2.8597127482201e-05	3	1	0.384035958117063	1	1
"ENSG00000120738"	"ENSG00000120738"	8.7880639533469e-06	7.05797593245969e-05	3	1	0.787805719177924	1	1
"ENSG00000129625"	"ENSG00000129625"	0.000262336384873044	0.000222464223833732	3	1	-0.426160675288419	1	1
"ENSG00000163399"	"ENSG00000163399"	1.46566188276685e-06	0.000314212075500054	6	1	-0.5999084631667	1	1
"ENSG00000163882"	"ENSG00000163882"	8.58428660481413e-07	0.000858972464487521	6	1	-0.739822533143437	1	0.8
"ENSG00000123395"	"ENSG00000123395"	0.0106076068230738	0.00300661457083514	4	1	0.57152196145152	1	1
"ENSG00000168259"	"ENSG00000168259"	3.12152357604065e-06	0.00404320616033939	3	1	-0.634447074156775	1	1
"ENSG00000174547"	"ENSG00000174547"	8.91476610082679e-06	0.00417200091086819	5	1	0.661852227065943	1	1
"ENSG00000167085"	"ENSG00000167085"	0.0138576064152658	0.00430281789023773	3	2	0.668890218022856	1	0.8
"ENSG00000149084"	"ENSG00000149084"	0.00811811341720923	0.00442897153184569	4	1	-0.575527996694086	1	1
"ENSG00000101608"	"ENSG00000101608"	5.45373315136799e-14	0.00497946880215565	7	1	-0.734840014784974	1	1
"ENSG00000142192"	"ENSG00000142192"	5.46987779273236e-05	0.00581218987601125	9	1	-0.359667369634285	1	1
"ENSG00000160113"	"ENSG00000160113"	0.0252130172810959	0.0061816841526963	3	2	0.441989737960909	1	1
"ENSG00000141232"	"ENSG00000141232"	0.0287063028887722	0.00667921800194763	3	2	0.360235999534943	1	1
"ENSG00000257727"	"ENSG00000257727"	0.00357248209694774	0.0070494281451987	6	1	-0.716931349682408	1	1
"ENSG00000167986"	"ENSG00000167986"	0.0455053339674897	0.0098562179276636	4	1	-0.704245606198919	1	0.8
"ENSG00000173848"	"ENSG00000173848"	0.00020194260180843	0.0103354813979579	4	1	0.792885314601218	1	0.8
"ENSG00000110321"	"ENSG00000110321"	2.53605187784474e-06	0.0161104538477091	10	1	0.508844747624189	1	1
"ENSG00000158864"	"ENSG00000158864"	0.0390049082944733	0.0168667951153887	3	1	0.300857454949228	1	1
"ENSG00000178741"	"ENSG00000178741"	6.02170183689684e-14	0.0219479081505577	3	1	-0.349502967579111	1	1
"ENSG00000168268"	"ENSG00000168268"	0.0371204221610988	0.0241231237158644	4	1	0.638442617330746	1	0.8
"ENSG00000108963"	"ENSG00000108963"	0.0332511281980065	0.0265803014425431	4	1	0.770732375826423	1	0.8
"ENSG00000079462"	"ENSG00000079462"	1.80108459341003e-05	0.0273581067318631	5	1	-0.747880833220865	1	1
"ENSG00000156976"	"ENSG00000156976"	0.00322035343181886	0.0297099814347415	8	1	-0.254888021932006	1	1
"ENSG00000205581"	"ENSG00000205581"	0.00935228245858438	0.0409442175801872	4	1	0.148852621821847	1	1
